And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
What would happen to the other people in the group?	Wie würden die anderen Personen in der Gruppe reagieren ?
Will they cheat more, or will they cheat less?	Würden sie weniger schummeln oder mehr schummeln ?
Here is what happens.	Das Folgende ist passiert:
It turns out it depends on what kind of sweatshirt they're wearing.	Es hat sich herausgestellt daß es davon abhängt , was für ein Sweatshirt man trägt .
Here is the thing.	Es ist nämlich so:
We ran this at Carnegie Mellon and Pittsburgh.	Wir haben dieses Experiment an mehreren Unis durchgeführt .
And at Pittsburgh there are two big universities, Carnegie Mellon and University of Pittsburgh.	Es gibt zwei große Universitäten in Pittsburgh , Die Carnegie Mellon und die University of Pittsburgh .
All of the subjects sitting in the experiment were Carnegie Mellon students.	Alle Testpersonen im Experiment studierten an der Carnegie Mellon .
When the actor who was getting up was a Carnegie Mellon student -- he was actually a Carnegie Mellon student -- but he was a part of their group, cheating went up.	Wenn der Schauspieler auch einen Carnegie Mellon-Studenten spielte -- Er war übrigens tatsächlich ein Carnegie Mellon-Student -- solange er also Teil der Gruppe war , wurde mehr gemogelt .
But when he actually had a University of Pittsburgh sweatshirt, cheating went down.	Sobald er allerdings ein Sweatshirt der University of Pittsburgh anhatte wurde weniger betrogen !
So it wasn't so much about the probability of being caught again.	Es ging hier also nicht um die Wahrscheinlichkeit , beim Betrug erwischt zu werden .
It was about the norms for cheating.	Es ging vielmehr darum , wann Betrug normativ akzeptiert wird .
If somebody from our in-group cheats and we see them cheating, we feel it's more appropriate, as a group, to behave this way.	Wenn jemand aus unserer Wir-Gruppe betrügt und wir ihn dabei sehen so haben wir als Gruppe das Gefühl , daß dieses Verhalten relativ angemessen ist .
But if it's somebody from another group, these terrible people -- I mean, not terrible in this -- but somebody we don't want to associate ourselves with, from another university, another group, all of a sudden people's awareness of honesty goes up -- a little bit like The Ten Commandments experiment -- and people cheat even less.	Wenn es aber jemand aus einer anderen Gruppe ist , einer dieser schrecklichen Leute -- Ich meine damit niemand bestimmten -- aber jemand mit dem wir uns nicht identifizieren wollen , jemand von einer anderen Universität , aus einer anderen Gruppe , dann wird Ehrlichkeit von Menschen plötzlich viel stärker wahrgenommen -- ein bißchen wie bei dem Zehn-Gebote-Experiment -- und es wird viel weniger gemogelt .
So, what have we learned from this about cheating?	Was haben wir davon also über das Betrügen gelernt ?
We've learned that a lot of people can cheat.	Wir haben gelernt , daß viele Leute betrügen können .
They cheat just by a little bit.	Der Einzelne betrügt dabei nur ein bißchen .
When we remind people about their morality, they cheat less.	Sobald wir Leute an ihre Moral erinnern , betrügen sie weniger .
When we get bigger distance from cheating, from the object of money, for example, people cheat more.	Wenn der Betrug sich "weiter entfernt" anfühlt , weil es beispielsweise nur indirekt um Geld geht , betrügen sie mehr .
And when we see cheating around us, particularly if it's a part of our in-group, cheating goes up.	Und wenn wir sehen wie um uns herum geschummelt wird , vor allem wenn es ein Teil unserer Wir-Gruppe tut , dann schummeln wir mehr .
Now, if we think about this in terms of the stock market, think about what happens.	Wenn wir das jetzt auf die Börse anwenden , was sehen wir dann ?
What happens in a situation when you create something where you pay people a lot of money to see reality in a slightly distorted way?	Was passiert , wenn man etwas erschaffen hat das Menschen sehr viel Geld dafür bezahlt , die Wirklichkeit auf eine etwas verzerrte Art wahrzunehmen ?
Would they not be able to see it this way?	Wären sie nicht in der Lage , es auch so zu sehen ?
Of course they would.	Natürlich wären sie das .
What happens when you do other things, like you remove things from money?	Was passiert wenn man andere Dinge tut , wie zum Beispiel Dinge weiter und weiter von Geld zu entfernen ?
You call them stock, or stock options, derivatives, mortgage-backed securities.	Wir haben Aktien , Aktienoptionen , Derivative , Hypothekengestützte Wertpapiere .
Could it be that with those more distant things, it's not a token for one second, it's something that is many steps removed from money for a much longer time -- could it be that people will cheat even more?	Ist es möglich , daß diese weiter entfernten Dinge , die keine Sekunde lang etwas reales repräsentieren , die so viele Umwandlungsschritte von Geld entfernt sind und es für so lange Zeit bleiben -- könnte es sein , daß Leute bei solchen Dingen sehr viel mehr betrügen ?
And what happens to the social environment when people see other people behave around them?	Und was passiert mit einem gesellschaftlichen Umfeld in dem Leute ständig das Verhalten ihrer Nächsten sehen ?
I think all of those forces worked in a very bad way in the stock market.	Ich denke daß alle diese Kräfte sehr schlechte Auswirkungen auf die Börse haben .
More generally, I want to tell you something about behavioral economics.	Etwas genereller wollte ich Ihnen etwas über Verhaltensökonomie erzählen .
We have many intuitions in our life, and the point is that many of these intuitions are wrong.	Oft lassen wir uns von unserer Intuition leiten -- die Sache ist daß diese Intuition oft falsch ist .
The question is, are we going to test those intuitions?	Die Frage ist , ob wir unserer Intuition nachgeben wollen oder sie erst auf die Probe stellen .
We can think about how we're going to test this intuition in our private life, in our business life, and most particularly when it goes to policy, when we think about things like No Child Left Behind, when you create new stock markets, when you create other policies -- taxation, health care and so on.	Wir können uns überlegen , wie wir solche Intuitionen sowohl in unserem Privatleben als auch geschäftlich testen können . Am wichtigsten ist dabei wohl die Politik , man denke einmal an Dinge wie die Amerikanische Bildungsreform von 2001 oder die Schaffung neuer Börsenmärkte , oder andere politische Entscheidungen wie Steuerpolitik , Gesundheitswesen und so weiter und so fort .
And the difficulty of testing our intuition was the big lesson I learned when I went back to the nurses to talk to them.	Wie schwierig es ist , unsere Intuition zu hinterfragen habe ich deutlich sehen können als ich ins Krankenhaus zurückging um meine Krankenschwestern wiederzusehen .
So I went back to talk to them and tell them what I found out about removing bandages.	Ich ging zurück um mit ihnen zu reden und ihnen zu erzählen , was ich über das Abnehmen von Verbänden gelernt hatte .
And I learned two interesting things.	Dabei habe ich zwei interessante Dinge gelernt:
One was that my favorite nurse, Ettie, told me that I did not take her pain into consideration.	Erstens hat meine Lieblingsschwester Ettie mir gesagt , ich hätte ihren Schmerz nicht in die Untersuchung einbezogen .
But think about me as a nurse, taking, removing the bandages of somebody I liked, and had to do it repeatedly over a long period of time.	Aber denken Sie einmal an mich als Krankenschwester . Ich mußte jemandem den ich mochte die Verbände wechseln -- und das immer und immer wieder über einen sehr langen Zeitraum .
And she said maybe part of the reason was it was difficult for her.	Und dann sagte sie mir vielleicht einen Teil des Grundes , weswegen es für sie schwer war --
So, if you think about all of your intuitions, it's very hard to believe that your intuition is wrong.	Wenn Sie jetzt einmal über jede Ihrer Eingebungen nachdenken , ist es sehr schwer , zu glauben , daß Ihre Intuition sie trügt .
And she said, "Given the fact that I thought my intuition was right ..." -- she thought her intuition was right -- it was very difficult for her to accept doing a difficult experiment to try and check whether she was wrong.	Und sie sagte , weil ich dachte , meine Intuition wäre richtig -- und sie dachte ihre Intuition wäre richtig -- wäre es sehr schwierig für sie , ein schwieriges Experiment zu veranstalten nur um zu überprüfen , ob sie falsch lag .
But in fact, this is the situation we're all in all the time.	Das ist aber tatsächlich die Situation in der wir uns alle die ganze Zeit befinden .
We have very strong intuitions about all kinds of things -- our own ability, how the economy works, how we should pay school teachers.	Unsere Intuition spricht über alles Mögliche zu uns -- über unsere eigenen Fähigkeiten , wie die Wirtschaft funktioniert , darüber , wie gut wir Lehrer bezahlen sollten .
But unless we start testing those intuitions, we're not going to do better.	Aber solange wir nicht anfangen , diese Eingebungen auf die Probe zu stellen , werden wir es nie besser machen als jetzt .
And just think about how better my life would have been if these nurses would have been willing to check their intuition, and how everything would have been better if we just start doing more systematic experimentation of our intuitions.	Denken Sie einmal darüber nach , wieviel höher meine Lebensqualität gewesen wäre , wenn meine Krankenschwestern bereit gewesen wären , ihre Intuition zu hinterfragen und um wieviel besser unser aller Leben sein könnte , wenn wir nur anfingen , unsere Intuitionen durch systematische Experimente zu überprüfen .
Thank you very much.	Vielen Dank .
Today I am going to teach you how to play my favorite game: massively multiplayer thumb-wrestling.	Heute werde ich Ihnen beibringen , wie man mein Lieblingsspiel spielt: Massen-Mehrspieler-Daumenringen .
